Type,company,Matching,dealCreateDate,meetingDate
Target,INSCOPE IT PTY LTD,INSCOPE IT PTY LTD,30/06/2025,11/12/2025
Target,DIGITAL CORE 9 PTY LTD,DIGITAL CORE 9 PTY LTD,1/07/2025,16/07/2025
Target,Aliva Pty Ltd,Aliva Pty Ltd,19/08/2025,14/11/2025
Target,DXC Technology,DXC TECHNOLOGY AUSTRALIA PTY LIMITED,19/08/2025,28/08/2025
Target,NOVO3 PTY LTD,NOVO3 PTY LTD,19/08/2025,10/11/2025
Target,Ethan Group Pty Ltd,Ethan Global Pty Ltd,1/12/2025,5/02/2026
Target,Security Centric Pty Ltd,Security Centric Pty Ltd,19/08/2025,8/09/2025
Target,Vocus,Vocus Pty Ltd,19/08/2025,3/09/2025
Target,ARXIS GROUP PTY LTD,ARXIS GROUP PTY LTD,19/08/2025,5/09/2025
Target,IPGLASS Pty Ltd,IP GLASS PTY LTD,19/08/2025,11/02/2026
Target,Stott & Hoare,Stott & Hoare,30/06/2025,11/07/2025
Target,ALL-TASKS COMPUTER SERVICES PTY LTD,ALL-TASKS COMPUTER SERVICES PTY LTD,30/06/2025,14/10/2025
Target,The Missing Link Network Integration Pty Ltd,The Missing Link Network Integration Pty Ltd,19/08/2025,1/09/2025
Target,Logic Stream Pty Ltd,LOGIC STREAM PTY LTD,1/12/2025,6/03/2026
Target,RESOLUTION TECHNOLOGY PTY LTD,Resolution Technology Pty Ltd,19/08/2025,29/08/2025
Target,Efficient Chips,Efficient Chips,30/06/2025,1/10/2025
Target,Communications Design Management Pty Ltd,Communications Design & Management Pty Ltd,19/08/2025,2/09/2025
Target,Xcy Pty Ltd,Xcy Pty Ltd,30/06/2025,2/09/2025
Target,ENERDS PTY LTD,eNerds Pty Ltd,30/06/2025,25/07/2025
Target,Bendigo Telco Ltd,Bendigo Telco Ltd,30/06/2025,5/08/2025
Target,Quorum Systems Pty Ltd,Quorum Systems Pty Ltd,30/06/2025,11/02/2026
Target,Honeylight Consulting Pty Ltd,Honeylight Consulting Pty Ltd,30/06/2025,25/08/2025
Target,Laminar Communications Pty Ptd,Laminar Communications Pty Ltd,19/08/2025,3/11/2025
Target,NEC IT Services Australia Pty Ltd,NEC IT Services Australia Pty Ltd,19/08/2025,17/02/2026
Target,Touchpoint Technology Pty Ltd,Touchpoint Technology Pty Ltd,30/06/2025,7/08/2025
Target,A23 PTY. LTD.,A23 PTY. LTD.,19/08/2025,16/10/2025
Target,Market Creations,Market Creations Pty Ltd,1/12/2025,2/03/2026
Target,Seccom Global Pty Ltd,Seccom Global Pty Ltd,19/08/2025,7/11/2025
Target,Stardata Pty Ltd,Stardata Pty Ltd,19/08/2025,13/10/2025
Target,CLARITY ICT PTY LTD,CLARITY ICT PTY LTD,19/08/2025,8/10/2025
Target,Canon Business Services Australia,CANON Business Services Australia,1/12/2025,2/03/2026
Target,Onel Consulting Pty Ltd,Onel Consulting Pty Ltd,19/08/2025,3/10/2025
Target,Blue Connections Pty Ltd,Blue Connections Pty Ltd,19/08/2025,3/11/2025
Target,Nexon,Nexon Asia Pacific Pty. Ltd.,14/07/2025,16/02/2026
Target,NTT Australia Pty Ltd,NTT Australia Pty Ltd,19/08/2025,12/02/2026
Target,Centrix Solutions Pty Ltd,Centrix Solutions Pty Ltd,30/06/2025,24/02/2026
Target,Data3,DATA#3 LIMITED,19/08/2025,2/09/2025
Target,OneStep,ONESTEP GROUP (WA) PTY LTD,19/08/2025,15/01/2026
Target,Leading Edge Information Pty Ltd,Leading Edge Information Pty Ltd,1/07/2025,1/12/2025
Target,The Trustee for DEALER IT - MJ SERVICES TRUST,The Trustee for DEALER IT - MJ SERVICES TRUST,30/06/2025,10/07/2025
Target,Interactive PL,Interactive Pty Ltd,19/08/2025,3/11/2025
Target,KINETIC IT PTY LTD,Kinetic IT Pty Ltd,19/08/2025,14/02/2026
Target,DEEPTECH PTY LTD,DEEPTECH PTY LTD,30/06/2025,6/02/2026
Target,TITAN ICT PTY LTD,TITAN ICT PTY LTD,30/06/2025,11/07/2025
Target,Williams Technology t/a Genesis Business Mac,Williams Technology t/a Genesis Business Mac,30/06/2025,10/12/2025
Target,Ebit Systems,E-Bit Systems Pty Ltd,30/06/2025,1/08/2025
Target,Applied Satellite Technology Australia t/a ASTA Networks,Applied Satellite Technology Australia t/a ASTA Networks,1/07/2025,14/01/2026
Target,KDDI Australia Pty Ltd,KDDI Australia Pty Ltd,19/08/2025,7/10/2025
Target,IP Partners Pty Ltd,IP Partners Pty Ltd,30/06/2025,16/01/2026
Target,Matrix Solutions Pty Ltd,Matrix Solutions Pty Ltd,1/12/2025,17/02/2026
Target,FAJITS P/L atf G2 IT,FAJITS P/L atf G2 IT,30/06/2025,1/12/2025
Target,Professional Advantage Pty Ltd,Professional Advantage Pty Ltd,30/06/2025,8/12/2025
Target,CDM Australia,CDM Australia Pty Ltd,19/08/2025,1/09/2025
Target,Geidi Pty Ltd,Geidi Pty Ltd,30/06/2025,17/02/2026
Target,LUCID MULTI CLOUD PTY LTD,LUCID MULTI CLOUD PTY LTD,19/08/2025,11/02/2026
Target,Tech Supply Australia Pty Ltd,Tech Supply Australia Pty Ltd,1/07/2025,14/07/2025
Target,NEXION Pacific (Pty) Ltd,Nexion Networks,30/06/2025,1/10/2025
Target,IT Basecamp Pty Ltd,IT Basecamp Pty Ltd,30/06/2025,12/11/2025
Target,Speedcast Australia,Speedcast Australia Pty Ltd,1/12/2025,17/02/2026
Target,Tranby West P/L t/as Netwest,Tranby West P/L t/as Netwest,30/06/2025,31/07/2025
Target,Innovate HQ Pty Ltd ATF Innovate HQ Unit Tru,Innovate HQ Pty Ltd ATF Innovate HQ Unit Tru,30/06/2025,30/07/2025
Target,PowerHouse Technology P/L t/a RMS Tech,PowerHouse Technology P/L t/a RMS Tech,1/07/2025,9/07/2025
Target,Landmark Computers,Landmark Computers,30/06/2025,7/08/2025
Target,Data Haus Pty Ltd,Data Haus Pty Ltd,19/08/2025,11/02/2026
Target,OneTeam IT Pty Ltd,ONETEAM IT PTY LTD,19/08/2025,17/11/2025
Target,Afterdark Technology Pty Ltd,Afterdark Technology Pty Ltd,19/08/2025,6/11/2025
Target,Aqura Technologies Pty Ltd,Aqura Technologies Pty Ltd,30/06/2025,15/01/2026
Target,BAMITS Pty Ltd,BAMITS Pty Ltd,19/08/2025,11/02/2026
Target,Centorrino Technologies Pty Ltd,CENTORRINO TECHNOLOGIES PTY LTD,19/08/2025,22/01/2026
Target,EAK INVESTMENTS PTE LTD - T/as Computer1,EAK INVESTMENTS PTE LTD - T/as Computer1,19/08/2025,2/10/2025
Target,iGen Media Corporation P/L t/a GPsupport,iGen Media Corporation P/L t/a GPsupport,1/07/2025,5/11/2025
Target,Insight IT,Insight I.T. Pty Ltd,5/12/2025,16/02/2026
Target,Loftus Computing Services Pty Ltd,Loftus Computing Services Pty Ltd,1/07/2025,11/02/2026
Target,Netier Pty Ltd,Netier Pty Ltd ATF The Netier Unit Trust,30/06/2025,13/01/2026
Target,Precision IT,Precision IT Pty Ltd,30/06/2025,4/12/2025
Target,Rojan Australia Pty Ltd,Rojan Australia Pty Ltd,1/12/2025,11/02/2026
Target,Solutions IT Asia Pacific Pty Ltd,Solutions IT,1/12/2025,11/02/2026
Target,Vizstone (acquired by Starboard IT),Vizstone Pty Ltd,19/08/2025,1/12/2025
Target,Powernet Group Pty Ltd,Powernet Group Pty Ltd,30/06/2025,25/07/2025
Target,Harris Technology,Harris Solutions Pty Ltd,1/07/2025,29/07/2025
Target,E & J IT Solutions Pty Ltd t/a IT Solutions,E & J IT Solutions Pty Ltd t/a IT Solutions,1/07/2025,21/01/2026
Target,Maher Family P/L ATF Maher No 2 Family Trust,Maher Family P/L ATF Maher No 2 Family Trust,21/08/2025,8/09/2025
Target,OZCOM Technology Group Pty Ltd,OZCOM Technology Group Pty Ltd,1/07/2025,24/07/2025
Target,Cloud Earth Pty Ltd,Cloud Earth Pty Ltd,30/06/2025,2/02/2026
Target,ITtelligent Consulting Services  - ( Virtual IT ),ITtelligent Consulting Services  - ( Virtual IT ),1/07/2025,14/11/2025
Target,INVISE PTY LTD,INVISE PTY LTD,19/08/2025,2/10/2025
Target,I.S.A. P/L atf LORISANN TRUST t/a ISA TECHNO,ISA P/L atf LORISANN TRUST t/a ISA TECHNO,30/06/2025,1/08/2025
Target,Enject Pty Ltd,Enject Pty Ltd,19/08/2025,1/10/2025
Target,Atthis Sept Pty Ltd  -  t/a Portal Technology,Atthis Sept Pty Ltd  -  t/a Portal Technology,19/08/2025,11/02/2026
Target,Groupsupport Pty Ltd,Groupsupport Pty Ltd,30/06/2025,12/12/2025
Target,MJ & RJ SALZKE t/a RJS Communications,MJ & RJ SALZKE t/a RJS Communications,1/07/2025,1/12/2025
Target,Wellcamp Telecommunications,Wellcamp Telecommunications Pty Ltd,19/08/2025,5/09/2025
Target,TTech IT Pty Ltd,T-Tech IT Pty Ltd,5/12/2025,5/03/2026
Target,VINet Solutions Pty Ltd,VINet Solutions Pty Ltd,30/06/2025,15/09/2025
Target,JEM Computer Systems Pty Ltd,JEM COMPUTER SYSTEMS PTY LTD,19/08/2025,10/11/2025
Target,New Era Technology  SE Pty Ltd,New Era Technology – SE,30/06/2025,7/11/2025
Target,Tecala ICT Pty Limited,Tecala ICT Pty Limited,19/08/2025,22/01/2026
Target,Virtu IT Solutions,Virtunet Pty Ltd - t/as VIRTU IT SOLUTIONS,1/12/2025,3/02/2026
Target,Intuit Technologies Pty Ltd,Intuit Technologies Pty Ltd,30/06/2025,11/11/2025
Target,Ever Nimble Pty Ltd,EVER NIMBLE PTY LTD,19/08/2025,11/02/2026
Target,Advance Vision Technology Pty Ltd,Advance Vision Technology Pty Ltd,30/06/2025,20/01/2026
Target,3Columns,PRJ CONSULTING PTY LTD t/a 3columns,19/08/2025,11/02/2026
Target,VIRTUAL GRAFFITI AUSTRALIA PTY LIMITED (NZ),Virtual Graffiti Australia Pty Ltd,19/08/2025,8/09/2025
Target,Mcr Resources Pty Limited,MCR Computer Resources Pty Ltd,19/08/2025,1/10/2025
Target,New Age Solutions Pty. Ltd. t/a New Age Solu,New Age Solutions Pty. Ltd. t/a New Age Solu,1/07/2025,11/02/2026
Target,Aryon Pty Ltd,Aryon Pty Ltd,19/08/2025,2/09/2025
Target,Ctrl Security Pty Ltd,CTRL SECURITY PTY LTD,30/06/2025,5/02/2026
Target,ASI Solutions ACT,ANABELLE BITS PTY LTD T/A ASI Solutions,30/06/2025,4/08/2025
Target,Area9 Pty Ltd,Area9 Pty Ltd,19/08/2025,7/11/2025
Target,Telstra,TELSTRA BROADCAST SERVICES PTY LIMITED,19/08/2025,3/09/2025
Target,BT AUSTRALASIA PTY LIMITED,BT AUSTRALASIA PTY LIMITED,19/08/2025,28/01/2026
Target,The Business Doctor NSW Pty Ltd,The Business Doctor NSW Pty Ltd - ( Quo Group),19/08/2025,10/10/2025
Target,Ricoh Australia Pty Ltd,Ricoh Australia Pty Ltd,30/06/2025,4/08/2025
Target,Cognitio Digital,COGNITIO DIGITAL PTY LTD,1/12/2025,24/02/2026
Target,Spirit Telecom Limited,Spirit Telecom (Australia) Pty Ltd,30/06/2025,8/12/2025
Control,Aquion Pty Ltd,Aquion Pty Ltd,,
Control,Brennan IT Pty Ltd,Brennan IT Pty Ltd,,
Control,Computer One Software (Australia) Pty Ltd,Computer One Software (Australia) Pty Ltd,,
Control,DANET TECHNOLOGY PTY LIMITED & JRK GROUP PTY LTD,DANET TECHNOLOGY PTY LIMITED & JRK GROUP PTY LTD,,
Control,Huon IT Pty Ltd,Huon IT Pty Ltd,,
Control,KMT Group Pty. Ltd t/a Kaine Mathrick Tech,KMT Group Pty. Ltd t/a Kaine Mathrick Tech,,
Control,Linktech Australia - ALMY PTY LTD,Linktech Australia - ALMY PTY LTD,,
Control,Macquarie Technology Operations Pty Ltd,Macquarie Technology Operations Pty Ltd,,
Control,Merchandise Arbitrage Pty Ltd,Merchandise Arbitrage Pty Ltd,,
Control,ORRO PTY LTD,ORRO PTY LTD,,
Control,Quatrotech Computing Services,Quatrotech Computing Services,,
Control,Teknet Pty Ltd T/A Loftus IT,Teknet Pty Ltd T/A Loftus IT,,
Control,THALES CYBER SERVICES AUSTRALIA PTY LTD,THALES CYBER SERVICES AUSTRALIA PTY LTD,,
Control,Truis Pty Ltd,Truis Pty Ltd,,
Control,Velocity Systems Group Pty Ltd,Velocity Systems Group Pty Ltd,,
Control,Vital Holdings Pty Ltd T/A Vital IT,Vital Holdings Pty Ltd T/A Vital IT,,
Control,LegitIT Pty Ltd,LegitIT Pty Ltd,,
Control,Integral Connection Pty Ltd -  t/as Network Overdrive,Integral Connection Pty Ltd -  t/as Network Overdrive,,
Control,QBT Consulting,QBT Consulting,,
Control,2Gen Pty Ltd,2Gen Pty Ltd,,
Control,ALLSTARS TRADING PTY LTD - trading as Zirilio,ALLSTARS TRADING PTY LTD - trading as Zirilio,,
Control,ANY IT BRISBANE,ANY IT BRISBANE,,
Control,Blue Apache Pty Ltd,Blue Apache Pty Ltd,,
Control,Commsys Pty Ltd,Commsys Pty Ltd,,
Control,Deloitte Touche Tohmatsu,Deloitte Touche Tohmatsu,,
Control,EMPYREAN IT PTY LTD atf Cloud Solutions Group,EMPYREAN IT PTY LTD atf Cloud Solutions Group,,
Control,Epic Enterprises (WA) Pty Ltd - t/a Epic IT,Epic Enterprises (WA) Pty Ltd - t/a Epic IT,,
Control,Fortinet Australia,Fortinet Australia,,
Control,Harmonic Enterprises Pty Ltd t/a Harmonic IT,Harmonic Enterprises Pty Ltd t/a Harmonic IT,,
Control,Infinite Infonet & Trading Pty Ltd,Infinite Infonet & Trading Pty Ltd,,
Control,MICRON 21 Pty Ltd,MICRON 21 Pty Ltd,,
Control,NEW ERA TECHNOLOGY AU05 PTY LTD,NEW ERA TECHNOLOGY AU05 PTY LTD,,
Control,Calibre One Pty Ltd,Calibre One Pty Ltd,,
Control,The Missing Link Security Pty Ltd,The Missing Link Security Pty Ltd,,
Control,The Morris Family Trust t/a Call For Teks,The Morris Family Trust t/a Call For Teks,,
Control,Procision Pty Ltd,Procision Pty Ltd,,
Control,Sparx Solutions Pty Ltd,Sparx Solutions Pty Ltd,,
Control,Syntric Pty Ltd,Syntric Pty Ltd,,
Control,The Trustee for Bertika Trust & Others t/a Perfekt Pty Ltd,The Trustee for Bertika Trust & Others t/a Perfekt Pty Ltd,,
Control,The Trustee for The K & R Harm Management Services Trust ( Managed Solutions ),The Trustee for The K & R Harm Management Services Trust ( Managed Solutions ),,
Control,REDD Digital Services Pty Ltd,REDD Digital Services Pty Ltd,,
Control,Bremmar Pty Ltd,Bremmar Pty Ltd,,
Control,Datacom Systems (AU) Pty Ltd,Datacom Systems (AU) Pty Ltd,,
Control,Far Edge Pty Limited,Far Edge Pty Limited,,
Control,IPSec Pty Ltd,IPSec Pty Ltd,,
Control,Orange Business Services Australia Pty Ltd,Orange Business Services Australia Pty Ltd,,
Control,Simm IT Services,Simm IT Services,,
Control,SterlingIT,SterlingIT,,
Control,Superior IT Technologies Pty. Ltd. T/A Hoste,Superior IT Technologies Pty. Ltd. T/A Hoste,,
Control,Tek One Solutions Pty Ltd,Tek One Solutions Pty Ltd,,
Control,Amnesium Pty Ltd,Amnesium Pty Ltd,,
Control,E Computing Pty Ltd,E Computing Pty Ltd,,
Control,Exclusive Networks Pty Ltd,Exclusive Networks Pty Ltd,,
Control,HEWLETT-PACKARD AUSTRALIA PTY LTD,HEWLETT-PACKARD AUSTRALIA PTY LTD,,
Control,Right Step Tech,Right Step Tech,,
Control,Squarealpha Pty Ltd,Squarealpha Pty Ltd,,
Control,Advent One Pty Ltd,Advent One Pty Ltd,,
Control,AFFINITY SYSTEMS PTY LTD,AFFINITY SYSTEMS PTY LTD,,
Control,Converged Medical Solutions Pty Ltd,Converged Medical Solutions Pty Ltd,,
Control,EZTEC SOLUTIONS PTY LTD,EZTEC SOLUTIONS PTY LTD,,
Control,Managed Services Australia Pty Ltd,Managed Services Australia Pty Ltd,,
Control,PENTEN PTY LTD,PENTEN PTY LTD,,
Control,SPOON TECHNOLOGIES PTY LTD,SPOON TECHNOLOGIES PTY LTD,,
Control,START TECHNOLOGIES PTY LTD t/a STARTCLOUD,START TECHNOLOGIES PTY LTD t/a STARTCLOUD,,
Control,TRANSACTION NETWORK SERVICES (UK) LTD,TRANSACTION NETWORK SERVICES (UK) LTD,,
Control,Transaction Network Services Australia Pty Ltd,Transaction Network Services Australia Pty Ltd,,
Control,"Transaction Network Services, Inc","Transaction Network Services, Inc",,
Control,Di Ciano Family Trust t/a MDCnet Computers,Di Ciano Family Trust t/a MDCnet Computers,,
Control,Kenso Communications Pty Ltd T/A Kenstra,Kenso Communications Pty Ltd T/A Kenstra,,
Control,Nokia Solutions and Networks Australia Pty Ltd,Nokia Solutions and Networks Australia Pty Ltd,,
Control,ONE IT SERVICES PTY LTD,ONE IT SERVICES PTY LTD,,
Control,RSM Australia P/L atf Birdanco Practice Trust,RSM Australia P/L atf Birdanco Practice Trust,,
Control,Integrate IT Australia Pty Ltd,Integrate IT Australia Pty Ltd,,
Control,The Trustee for MIB GLOBAL TRUST t/a Dot Net IT Solutions Pty Ltd,The Trustee for MIB GLOBAL TRUST t/a Dot Net IT Solutions Pty Ltd,,
Control,Comvergence P/L ATF COMVERGENCE UNIT TRUST,Comvergence P/L ATF COMVERGENCE UNIT TRUST,,
Control,Netservice Pty Limited,Netservice Pty Limited,,
Control,INTERFUSE TECHNOLOGY SERVICES PTY LTD,INTERFUSE TECHNOLOGY SERVICES PTY LTD,,
Control,Travmar Pty Ltd t/a ATS Solutions,Travmar Pty Ltd t/a ATS Solutions,,
Control,Aleph IT Pty Ltd,Aleph IT Pty Ltd,,
Control,CBIT Pty Ltd t/a CDFS,CBIT Pty Ltd t/a CDFS,,
Control,Flag Me Down Media,Flag Me Down Media,,
Control,Card Access Services,Card Access Services,,
Control,Goldline IT Pty Ltd,Goldline IT Pty Ltd,,
Control,Network-IT (WA) PTY LTD,Network-IT (WA) PTY LTD,,
Control,Auswide Communication Pty Ltd,Auswide Communication Pty Ltd,,
Control,GLOBAL ASSET SYSTEMS PTY. LIMITED,GLOBAL ASSET SYSTEMS PTY. LIMITED,,
Control,Increment Pty Ltd,Increment Pty Ltd,,
Control,SPLIT HORIZON PTY LTD,SPLIT HORIZON PTY LTD,,
Control,USEZER PTY LTD,USEZER PTY LTD,,
Control,CTM Professional Services Pty Ltd,CTM Professional Services Pty Ltd,,
Control,Synapse IT Consultants Pty Ltd,Synapse IT Consultants Pty Ltd,,
Control,AceNet Solutions Pty Ltd,AceNet Solutions Pty Ltd,,
Control,Conrade Pty Ltd (T/A Oreta),Conrade Pty Ltd (T/A Oreta),,
Control,The IT of Things Pty Ltd,The IT of Things Pty Ltd,,
Control,SITS ANZ PTY LTD,SITS ANZ PTY LTD,,
Control,Verizon Australia Pty Limited,Verizon Australia Pty Limited,,
Control,Adept Small Business IT Pty Ltd T/A The Adep,Adept Small Business IT Pty Ltd T/A The Adep,,
Control,TRANSACTION NETWORK SERVICES (IRELAND) LTD,TRANSACTION NETWORK SERVICES (IRELAND) LTD,,
Control,PERTHICT PTY LTD t/a ITdynamics,PERTHICT PTY LTD t/a ITdynamics,,
Control,Business Technology Group Ltd,Business Technology Group Ltd,,
Control,The Cyber Security Clinic,The Cyber Security Clinic,,
Control,Unirank IT Services,Unirank IT Services,,
Control,Accenture Australia Pty Ltd,Accenture Australia Pty Ltd,,
Control,Entag Group Pty Ltd,Entag Group Pty Ltd,,
Control,Is Digital Solutions,Is Digital Solutions,,
Control,Southern Phone Company Ltd t/a AGL Telco,Southern Phone Company Ltd t/a AGL Telco,,
Control,Willowcreek Holdings Pty Ltd t/a Your Wi-FI,Willowcreek Holdings Pty Ltd t/a Your Wi-FI,,
Control,Anric Pty Ltd (do not use),Anric Pty Ltd (do not use),,
Control,Medical IT Group Pty. Ltd.,Medical IT Group Pty. Ltd.,,
Control,SOFTCAT PLC,SOFTCAT PLC,,
Control,CARE MIT PTY LTD  - t/a Care Managed IT,CARE MIT PTY LTD  - t/a Care Managed IT,,
Control,ITCO P/L - T/as  Datalinq Solutions,ITCO P/L - T/as  Datalinq Solutions,,
Control,Zettagrid Pty Ltd,Zettagrid Pty Ltd,,
Control,DXC Connect Pty Limited,DXC Connect Pty Limited,,
Control,FRUITiON IT CONSULTANTS PTY. LTD.,FRUITiON IT CONSULTANTS PTY. LTD.,,
Control,Vocal Networks Pty Ltd,Vocal Networks Pty Ltd,,
Control,THRIVE OPERATIONS AUSTRALIA PTY LTD,THRIVE OPERATIONS AUSTRALIA PTY LTD,,
Control,Intelligent Business Network Solutions Pty Ltd,Intelligent Business Network Solutions Pty Ltd,,
Control,Rosyll Pty Ltd T/AS Consulting IT,Rosyll Pty Ltd T/AS Consulting IT,,
Control,DXC Enterprise Australia Pty Ltd,DXC Enterprise Australia Pty Ltd,,
Control,Sekuro Operations Pty Ltd,Sekuro Operations Pty Ltd,,
Control,Nueva Group Pty Ltd (T/A Nueva Solutions),Nueva Group Pty Ltd (T/A Nueva Solutions),,
Control,AUSTRALIAN CENTRE FOR ADVANCED COMPUTING AND COMMUNICATION PTY LTD (AC3),AUSTRALIAN CENTRE FOR ADVANCED COMPUTING AND COMMUNICATION PTY LTD (AC3),,
Control,Centum Services Pty Ltd,Centum Services Pty Ltd,,
Control,SoftwareONE Australia Pty Limited,SoftwareONE Australia Pty Limited,,
Control,VoIP Pty Ltd,VoIP Pty Ltd,,
Control,Spectrolite Pty Ltd,Spectrolite Pty Ltd,,
Control,The TSW Investment Trust t/a BusinessWorks,The TSW Investment Trust t/a BusinessWorks,,
Control,SUPERLOOP (AUSTRALIA) PTY LTD,SUPERLOOP (AUSTRALIA) PTY LTD,,
Control,MSS IT,MSS IT,,
Control,Logicalis Australia Pty Ltd,Logicalis Australia Pty Ltd,,
Control,VARIANT TECHNOLOGY PTY LTD,VARIANT TECHNOLOGY PTY LTD,,
Control,Click Information Technology Pty Ltd,Click Information Technology Pty Ltd,,
Control,Nextgen Distribution Limited (NZ),Nextgen Distribution Limited (NZ),,
